2026-07-31 14:52:02,991 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 14:52:03,999 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 14:52:04,044 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-31 14:52:15,198 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 14:52:15,923 | INFO    | models.pca_reducer | Loaded PCA state from C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 14:52:16,158 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 14:52:17,200 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 14:52:17,232 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-31 14:58:13,556 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 14:58:14,376 | INFO    | pipeline | Extracting ResNet features for PCA fitting on 1 images
2026-07-31 14:58:14,770 | INFO    | models.pca_reducer | PCA fitted: 2048 -> 1 dims, nan% variance explained
2026-07-31 14:58:14,772 | INFO    | models.pca_reducer | Saved PCA state to C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 14:58:14,915 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 14:58:15,906 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 14:58:15,973 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-31 14:58:24,794 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 14:58:25,361 | INFO    | models.pca_reducer | Loaded PCA state from C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 14:58:25,660 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 14:58:26,552 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 14:58:26,572 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-31 15:01:01,631 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 15:01:02,278 | INFO    | pipeline | Extracting ResNet features for PCA fitting on 1 images
2026-07-31 15:01:02,677 | INFO    | models.pca_reducer | PCA fitted: 2048 -> 1 dims, nan% variance explained
2026-07-31 15:01:02,680 | INFO    | models.pca_reducer | Saved PCA state to C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 15:01:02,838 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 15:01:03,756 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 15:01:03,813 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-31 15:01:14,222 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 15:01:14,939 | INFO    | models.pca_reducer | Loaded PCA state from C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 15:01:15,186 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 15:01:16,090 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 15:01:16,117 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-31 15:41:01,264 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 15:41:02,110 | INFO    | pipeline | Extracting ResNet features for PCA fitting on 1 images
2026-07-31 15:41:02,570 | INFO    | models.pca_reducer | PCA fitted: 2048 -> 1 dims, nan% variance explained
2026-07-31 15:41:02,573 | INFO    | models.pca_reducer | Saved PCA state to C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 15:41:02,725 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 15:41:03,993 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 15:41:04,058 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-31 15:41:17,810 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 15:41:18,596 | INFO    | models.pca_reducer | Loaded PCA state from C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 15:41:19,029 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 15:41:20,803 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 15:41:20,853 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-31 15:49:37,337 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 15:49:38,519 | INFO    | pipeline | Extracting ResNet features for PCA fitting on 1 images
2026-07-31 15:49:39,852 | INFO    | models.pca_reducer | PCA fitted: 2048 -> 1 dims, nan% variance explained
2026-07-31 15:49:39,858 | INFO    | models.pca_reducer | Saved PCA state to C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 15:49:40,773 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 15:49:42,148 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 15:49:42,206 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-31 15:50:00,371 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-31 15:50:01,069 | INFO    | models.pca_reducer | Loaded PCA state from C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-31 15:50:01,846 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-31 15:50:03,072 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-31 15:50:03,111 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
